,cg1,cg2,cg3,cg4,cg5,cl1,cl2,cl3,cw1,cw2,cw3,sg2,sg3,sg4,sg5,sg6,sl1,sl2,sl3,sw1,sw2,sw3
WBGene00077631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
WBGene00077633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00077634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,58
WBGene00077635,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0
WBGene00077636,424,385,232,128,243,109,143,141,41,68,113,0,254,50,82,206,88,110,19,262,117,0
WBGene00077637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
WBGene00077640,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0
WBGene00077641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077643,416,373,303,227,366,345,335,294,319,353,368,70,207,771,1461,700,505,303,435,489,608,700
WBGene00077644,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077646,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0
WBGene00077647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
